Name,Country_ID,Country,Gaul_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Administrative unit not available,SDN,Sudan,124,0.1211,0.1235,0.1173,0.1071,0.0982,0.1,0.0674,0.0578,0.0488,0.0444,0.0443,0.0438,0.0512,0.0585,0.0604,0.0579
Bengo,AGO,Angola,398,0.3585,0.3739,0.3829,0.3513,0.3372,0.32,0.2793,0.2367,0.1686,0.1303,0.1244,0.1387,0.1471,0.1661,0.1632,0.1379
Benguela,AGO,Angola,399,0.2503,0.2613,0.2694,0.2412,0.2306,0.2201,0.1942,0.156,0.099,0.066,0.0607,0.0659,0.0725,0.0899,0.0873,0.0735
Bie,AGO,Angola,400,0.2943,0.3042,0.3168,0.3267,0.3431,0.3441,0.3066,0.2187,0.1277,0.0803,0.069,0.0723,0.085,0.1124,0.1093,0.0917
Cabinda,AGO,Angola,401,0.3922,0.3831,0.3659,0.2984,0.2507,0.2146,0.1885,0.1629,0.1323,0.1237,0.142,0.1729,0.2038,0.2264,0.219,0.1867
Cuando Cubango,AGO,Angola,402,0.2413,0.2498,0.2545,0.2352,0.2414,0.2307,0.2085,0.1473,0.0892,0.0591,0.0547,0.062,0.0724,0.0876,0.0866,0.0759
Cuanza Sul,AGO,Angola,403,0.4134,0.4344,0.4583,0.4765,0.506,0.5267,0.493,0.4104,0.2662,0.1718,0.1465,0.1505,0.1631,0.2012,0.1948,0.1637
Cunene,AGO,Angola,404,0.1919,0.1966,0.2115,0.225,0.2562,0.2777,0.2648,0.1944,0.1219,0.0792,0.0661,0.0676,0.0663,0.0706,0.0704,0.0617
Huambo,AGO,Angola,405,0.3868,0.3943,0.393,0.3778,0.3588,0.3171,0.2521,0.1546,0.0688,0.036,0.0295,0.0342,0.0524,0.0948,0.0915,0.0761
Huila,AGO,Angola,406,0.3002,0.3137,0.3211,0.3072,0.2945,0.278,0.2492,0.1992,0.136,0.1058,0.1043,0.1139,0.1224,0.1402,0.1367,0.1167
Kuanza Norte,AGO,Angola,407,0.4157,0.4328,0.4511,0.4544,0.4655,0.4743,0.4415,0.3871,0.2826,0.2154,0.2015,0.2186,0.2331,0.2573,0.2482,0.2106
Luanda,AGO,Angola,408,0.079,0.0839,0.0855,0.0536,0.0425,0.0353,0.0313,0.0282,0.0239,0.0222,0.0244,0.0277,0.0315,0.0392,0.0388,0.0339
Lunda Norte,AGO,Angola,409,0.3882,0.3898,0.3999,0.3891,0.3981,0.4054,0.3805,0.3163,0.2122,0.1482,0.1327,0.134,0.1423,0.1628,0.1628,0.1366
Lunda Sul,AGO,Angola,410,0.2001,0.2041,0.2124,0.1833,0.1871,0.1927,0.1883,0.1607,0.1125,0.0857,0.0836,0.0904,0.1042,0.1206,0.1206,0.105
Malanje,AGO,Angola,411,0.3971,0.408,0.4344,0.4529,0.4917,0.5222,0.5112,0.4464,0.3208,0.2278,0.2025,0.2033,0.2075,0.228,0.22,0.1872
Moxico,AGO,Angola,412,0.2146,0.22,0.2254,0.1876,0.1831,0.178,0.1701,0.1394,0.0981,0.0784,0.0823,0.0979,0.1182,0.1367,0.1406,0.1205
Namibe,AGO,Angola,413,0.1206,0.1246,0.1254,0.0897,0.0769,0.0713,0.0658,0.0594,0.0484,0.0434,0.0479,0.0535,0.0538,0.0574,0.057,0.0504
Uige,AGO,Angola,414,0.482,0.4799,0.4774,0.4529,0.4255,0.39,0.3309,0.2554,0.159,0.1103,0.0986,0.1129,0.1348,0.1735,0.1672,0.136
