Bengo,Angola,-8.5,14.375,
Benguela,Angola,-12.5,13.75,
Bie,Angola,-12.0,17.5,
Cabinda,Angola,-5.0,12.5,
Cuando Cubango,Angola,-16.0,20.0,
Cuanza Sul,Angola,-10.5,15.625,
Cunene,Angola,-16.5,16.25,
Huambo,Angola,-12.5,16.25,
Huila,Angola,-14.5,15.625,
Luanda,Angola,-8.5,13.75,
Lunda Norte,Angola,-8.5,20.0,
Lunda Sul,Angola,-10.0,21.25,
Malanje,Angola,-9.5,16.875,
Moxico,Angola,-12.5,21.875,
Namibe,Angola,-15.0,12.5,
Uige,Angola,-7.5,15.625,
Zaire,Angola,-6.5,13.75,
Alibori,Benin,11.5,3.125,
Atakora,Benin,11.0,1.875,
Atlantique,Benin,7.0,2.5,
Borgou,Benin,10.0,3.125,
Collines,Benin,8.5,2.5,
Couffo,Benin,7.0,2.5,
Donga,Benin,9.5,1.875,
Littoral,Benin,6.5,2.5,
Mono,Benin,6.5,1.875,
Oueme,Benin,7.0,3.125,
Plateau,Benin,7.5,3.125,
Zou,Benin,7.5,2.5,
Central,Botswana,-23.0,25,
Chobe,Botswana,-18.0,25,
Ghanzi,Botswana,-21.5,21.875,
Kgalagadi,Botswana,-24.5,21.875,
Kgatleng,Botswana,-24.0,26.875,
Kweneng,Botswana,-23.5,26.25,
Ngamiland,Botswana,-19.5,23.75,
North East,Botswana,-21.0,28.125,
South-East,Botswana,-24.5,25,
Southern,Botswana,-24.5,25,
Abim,Uganda,3.0,34.375,
Amudat,Uganda,2.0,35,
Amuru,Uganda,3.5,32.5,
Apac,Uganda,2.0,33.125,
Budaka,Uganda,1.5,34.375,
Bugiri,Uganda,1.0,34.375,
Buikwe,Uganda,0.5,33.125,
Bukomansimbi,Uganda,0.0,31.875,
Bukwo,Uganda,1.5,35,
Bulambuli,Uganda,1.5,34.375,
Buliisa,Uganda,2.0,31.875,
Bundibugyo,Uganda,1.0,30.625,
Bushenyi,Uganda,-0.5,30.625,
Buyende,Uganda,1.5,33.75,
Butambala,Uganda,0.5,32.5,
Iganga,Uganda,1.0,33.75,
Kalungu,Uganda,0.0,31.875,
Kamuli,Uganda,1.0,33.75,
Kapchorwa,Uganda,1.5,35,
Sheema,Uganda,-0.5,30.625,
Kitgum,Uganda,3.5,33.75,
Kole,Uganda,2.5,33.125,
Kotido,Uganda,3.5,34.375,
Kween,Uganda,1.5,35,
Lamwo,Uganda,4.0,33.125,
Luuka,Uganda,1.0,33.75,
Manafwa,Uganda,1.0,34.375,
Masaka,Uganda,0.0,31.875,
Masindi,Uganda,2.0,31.875,
Moroto,Uganda,3.0,35,
Nakapiripirit,Uganda,2.0,35,
Namutumba,Uganda,1.0,33.75,
Napak,Uganda,2.5,34.375,
Nebbi,Uganda,2.5,31.875,
Ngora,Uganda,1.5,34.375,
Buhweju,Uganda,0.0,30.625,
Ntoroko,Uganda,1.0,30.625,
Maracha,Uganda,3.5,31.25,
Otuke,Uganda,2.5,33.75,
Oyam,Uganda,2.5,32.5,
Pader,Uganda,3.0,33.125,
Rubirizi,Uganda,0.0,30.0,
Sironko,Uganda,1.5,34.375,
Soroti,Uganda,2.0,33.75,
Zombo,Uganda,3.0,31.25,
Bukedea,Uganda,1.5,34.375,
Dokolo,Uganda,2.0,33.125,
Agago,Uganda,3.0,33.75,
Adamaoua,Cameroon,7.0,13.75,
Centre,Cameroon,5.0,12.5,
Est,Cameroon,4.0,14.375,
Littoral,Cameroon,4.5,10.625,
Nord,Cameroon,5.0,10.625,
Nord - Ouest,Cameroon,6.5,10.625,
Ouest,Cameroon,6.0,11.25,
Sud,Cameroon,5.0,10.625,
Sud - Ouest,Cameroon,5.5,9.375,
Alebtong,Uganda,2.5,33.75,
